ANO;LOCALIDAD_MADRE;EDAD_MADRE;SEXO;REGIMEN_SEGURIDAD_SOCIAL;TOTAL_NACIDOS
2009;00 - Bogotá;23;Femenino;No Asegurado;511
2009;00 - Bogotá;39;Femenino;Contributivo;533
2009;00 - Bogotá;43;Femenino;Contributivo;94
2009;00 - Bogotá;42;Femenino;Contributivo;172
2009;00 - Bogotá;35;Masculino;Subsidiado;203
2009;00 - Bogotá;33;Femenino;Subsidiado;214
2009;00 - Bogotá;35;Masculino;Excepción;33
2009;00 - Bogotá;29;Masculino;Subsidiado;408
2009;00 - Bogotá;36;Femenino;Especial;5
2009;00 - Bogotá;32;Femenino;Subsidiado;219
2009;00 - Bogotá;43;Masculino;Subsidiado;38
2009;00 - Bogotá;16;Masculino;Contributivo;591
2009;00 - Bogotá;26;Masculino;No Asegurado;382
2009;00 - Bogotá;25;Masculino;Excepción;74
2009;00 - Bogotá;35;Femenino;Contributivo;1053
2009;00 - Bogotá;27;Masculino;No Asegurado;350
2009;00 - Bogotá;20;Femenino;No Asegurado;747
2009;00 - Bogotá;43;Masculino;Contributivo;111
2009;00 - Bogotá;33;Masculino;No Asegurado;133
2009;00 - Bogotá;38;Femenino;Subsidiado;139
2009;00 - Bogotá;37;Femenino;Subsidiado;155
2009;00 - Bogotá;30;Femenino;Subsidiado;319
2009;00 - Bogotá;14;Masculino;Contributivo;111
2009;00 - Bogotá;21;Femenino;Sin Dato;8
2009;00 - Bogotá;34;Masculino;Subsidiado;201
2009;00 - Bogotá;36;Masculino;Excepción;36
2009;00 - Bogotá;38;Masculino;No Asegurado;91
2009;00 - Bogotá;15;Femenino;Subsidiado;280
2009;00 - Bogotá;37;Masculino;No Asegurado;98
2009;00 - Bogotá;20;Masculino;No Asegurado;797
2009;00 - Bogotá;14;Femenino;No Asegurado;43
2009;00 - Bogotá;42;Femenino;Subsidiado;45
2009;00 - Bogotá;34;Femenino;No Asegurado;135
2009;00 - Bogotá;16;Masculino;No Asegurado;321
2009;00 - Bogotá;41;Masculino;No Asegurado;39
2009;00 - Bogotá;40;Masculino;Subsidiado;96
2009;00 - Bogotá;30;Masculino;No Asegurado;199
2009;00 - Bogotá;27;Femenino;No Asegurado;338
2009;00 - Bogotá;19;Masculino;Excepción;40
2009;00 - Bogotá;20;Masculino;Sin Dato;8
2009;00 - Bogotá;14;Masculino;No Asegurado;51
2009;00 - Bogotá;33;Femenino;No Asegurado;137
2009;00 - Bogotá;35;Femenino;Excepción;41
2009;00 - Bogotá;30;Masculino;Subsidiado;290
2009;00 - Bogotá;14;Femenino;Subsidiado;89
2009;00 - Bogotá;27;Masculino;Subsidiado;408
2009;00 - Bogotá;35;Femenino;Subsidiado;157
2009;00 - Bogotá;42;Femenino;No Asegurado;21
2009;00 - Bogotá;31;Femenino;No Asegurado;209
2009;00 - Bogotá;14;Femenino;Contributivo;73
2009;00 - Bogotá;13;Masculino;Contributivo;16
2009;00 - Bogotá;27;Femenino;Excepción;95
2009;00 - Bogotá;;Masculino;Subsidiado;8
2009;00 - Bogotá;43;Masculino;No Asegurado;13
2009;00 - Bogotá;32;Femenino;No Asegurado;157
2009;00 - Bogotá;40;Femenino;Subsidiado;87
2009;00 - Bogotá;38;Masculino;Subsidiado;147
2009;00 - Bogotá;22;Femenino;Excepción;72
2009;00 - Bogotá;39;Masculino;Subsidiado;101
2009;00 - Bogotá;37;Femenino;Excepción;25
2009;00 - Bogotá;39;Masculino;Sin Dato;4
2009;00 - Bogotá;35;Masculino;Especial;5
2009;00 - Bogotá;25;Femenino;No Asegurado;381
2009;00 - Bogotá;18;Femenino;Excepción;47
2009;00 - Bogotá;34;Masculino;Excepción;50
2009;00 - Bogotá;20;Masculino;Excepción;78
2009;00 - Bogotá;41;Masculino;Subsidiado;68
2009;00 - Bogotá;23;Femenino;Excepción;101
2009;00 - Bogotá;37;Masculino;Subsidiado;146
2009;00 - Bogotá;36;Femenino;Subsidiado;184
2009;00 - Bogotá;38;Femenino;No Asegurado;72
2009;00 - Bogotá;47;Masculino;Excepción;2
2009;00 - Bogotá;35;Femenino;No Asegurado;109
2009;00 - Bogotá;36;Masculino;Subsidiado;195
2009;00 - Bogotá;28;Femenino;Excepción;85
2009;00 - Bogotá;15;Masculino;Excepción;8
2009;00 - Bogotá;29;Masculino;Sin Dato;7
2009;00 - Bogotá;41;Femenino;Subsidiado;54
2009;00 - Bogotá;26;Femenino;Excepción;75
2009;00 - Bogotá;38;Femenino;Excepción;25
2009;00 - Bogotá;17;Masculino;Excepción;43
2009;00 - Bogotá;47;Masculino;Contributivo;9
2009;00 - Bogotá;34;Femenino;Subsidiado;185
2009;00 - Bogotá;29;Masculino;Excepción;82
2009;00 - Bogotá;45;Femenino;Contributivo;22
2009;00 - Bogotá;21;Masculino;Excepción;64
2009;00 - Bogotá;45;Masculino;Contributivo;35
2009;00 - Bogotá;30;Femenino;Especial;10
2009;00 - Bogotá;27;Masculino;Excepción;77
2009;00 - Bogotá;12;Femenino;Subsidiado;5
2009;00 - Bogotá;39;Femenino;Subsidiado;133
2009;00 - Bogotá;40;Masculino;No Asegurado;57
2009;00 - Bogotá;33;Femenino;Excepción;56
2009;00 - Bogotá;44;Masculino;Contributivo;66
2009;00 - Bogotá;36;Femenino;Excepción;32
2009;00 - Bogotá;24;Femenino;Excepción;74
2009;00 - Bogotá;24;Masculino;Excepción;100
2009;00 - Bogotá;34;Femenino;Excepción;38
2009;00 - Bogotá;37;Masculino;Excepción;28
2009;00 - Bogotá;15;Femenino;No Asegurado;151
2009;00 - Bogotá;48;Femenino;Subsidiado;1
2009;00 - Bogotá;30;Femenino;Sin Dato;7
2009;00 - Bogotá;24;Masculino;Sin Dato;3
2009;00 - Bogotá;14;Masculino;Subsidiado;90
2009;00 - Bogotá;33;Masculino;Excepción;57
2009;00 - Bogotá;40;Masculino;Excepción;11
2009;00 - Bogotá;37;Femenino;Sin Dato;2
2009;00 - Bogotá;18;Masculino;Sin Dato;9
2009;00 - Bogotá;45;Masculino;Especial;1
2009;00 - Bogotá;33;Femenino;Sin Dato;6
2009;00 - Bogotá;42;Masculino;Subsidiado;51
2009;00 - Bogotá;17;Femenino;Excepción;40
2009;00 - Bogotá;21;Femenino;Excepción;78
2009;00 - Bogotá;19;Femenino;Sin Dato;11
2009;00 - Bogotá;39;Femenino;No Asegurado;60
2009;00 - Bogotá;29;Femenino;Excepción;68
2009;00 - Bogotá;;Masculino;Sin Dato;4
2009;00 - Bogotá;29;Masculino;Especial;8
2009;00 - Bogotá;27;Masculino;Especial;4
2009;00 - Bogotá;25;Masculino;Sin Dato;6
2009;00 - Bogotá;20;Femenino;Excepción;63
2009;00 - Bogotá;36;Femenino;No Asegurado;97
2009;00 - Bogotá;16;Masculino;Excepción;28
2009;00 - Bogotá;45;Femenino;Subsidiado;11
2009;00 - Bogotá;17;Masculino;Especial;3
2009;00 - Bogotá;39;Masculino;Excepción;14
2009;00 - Bogotá;32;Masculino;Especial;7
2009;00 - Bogotá;40;Femenino;No Asegurado;54
2009;00 - Bogotá;30;Masculino;Excepción;83
2009;00 - Bogotá;18;Masculino;Excepción;40
2009;00 - Bogotá;26;Femenino;Especial;7
2009;00 - Bogotá;37;Masculino;Especial;3
2009;00 - Bogotá;41;Femenino;No Asegurado;33
2009;00 - Bogotá;23;Masculino;Sin Dato;9
2009;00 - Bogotá;33;Masculino;Sin Dato;4
2009;00 - Bogotá;33;Femenino;Especial;7
2009;00 - Bogotá;23;Masculino;Especial;3
2009;00 - Bogotá;42;Masculino;Excepción;6
2009;00 - Bogotá;44;Femenino;No Asegurado;9
2009;00 - Bogotá;31;Femenino;Excepción;58
2009;00 - Bogotá;42;Masculino;No Asegurado;27
2009;00 - Bogotá;13;Femenino;No Asegurado;11
2009;00 - Bogotá;13;Masculino;Subsidiado;17
2009;00 - Bogotá;32;Masculino;Sin Dato;4
2009;00 - Bogotá;46;Femenino;Contributivo;18
2009;00 - Bogotá;12;Femenino;Contributivo;1
2009;00 - Bogotá;32;Femenino;Excepción;68
2009;00 - Bogotá;13;Femenino;Subsidiado;15
2009;00 - Bogotá;22;Masculino;Sin Dato;11
2009;00 - Bogotá;35;Femenino;Especial;5
2009;00 - Bogotá;41;Femenino;Especial;3
2009;00 - Bogotá;31;Femenino;Sin Dato;4
2009;00 - Bogotá;16;Femenino;Excepción;22
2009;00 - Bogotá;26;Femenino;Sin Dato;4
2009;00 - Bogotá;31;Femenino;Especial;4
2009;00 - Bogotá;25;Femenino;Especial;3
2009;00 - Bogotá;21;Masculino;Sin Dato;14
2009;00 - Bogotá;25;Femenino;Sin Dato;4
2009;00 - Bogotá;40;Femenino;Excepción;17
2009;00 - Bogotá;48;Masculino;Contributivo;3
2009;00 - Bogotá;34;Femenino;Sin Dato;3
2009;00 - Bogotá;47;Femenino;Contributivo;5
2009;00 - Bogotá;25;Masculino;Especial;7
2009;00 - Bogotá;42;Femenino;Excepción;9
2009;00 - Bogotá;22;Femenino;Especial;2
2009;00 - Bogotá;27;Femenino;Especial;4
2009;00 - Bogotá;45;Femenino;Excepción;2
2009;00 - Bogotá;37;Femenino;Especial;5
2009;00 - Bogotá;45;Femenino;No Asegurado;7
2009;00 - Bogotá;41;Femenino;Excepción;14
2009;00 - Bogotá;36;Masculino;Sin Dato;2
2009;00 - Bogotá;34;Femenino;Especial;5
2009;00 - Bogotá;45;Masculino;Subsidiado;8
2009;00 - Bogotá;46;Masculino;Contributivo;15
2009;00 - Bogotá;13;Femenino;Contributivo;16
2009;00 - Bogotá;14;Masculino;Excepción;3
2009;00 - Bogotá;33;Masculino;Especial;4
2009;00 - Bogotá;17;Masculino;Sin Dato;7
2009;00 - Bogotá;46;Masculino;No Asegurado;1
2009;00 - Bogotá;40;Masculino;Sin Dato;2
2009;00 - Bogotá;44;Masculino;Subsidiado;19
2009;00 - Bogotá;;Masculino;Contributivo;6
2009;00 - Bogotá;26;Masculino;Sin Dato;5
2009;00 - Bogotá;51;Femenino;Contributivo;3
2009;00 - Bogotá;43;Femenino;Excepción;8
2009;00 - Bogotá;13;Masculino;Excepción;1
2009;00 - Bogotá;40;Femenino;Especial;2
2009;00 - Bogotá;50;Femenino;Contributivo;2
2009;00 - Bogotá;16;Femenino;Sin Dato;9
2009;00 - Bogotá;39;Femenino;Excepción;20
2009;00 - Bogotá;44;Femenino;Subsidiado;13
2009;00 - Bogotá;;Masculino;No Asegurado;3
2009;00 - Bogotá;37;Masculino;Sin Dato;4
2009;00 - Bogotá;18;Femenino;Sin Dato;14
2009;00 - Bogotá;27;Masculino;Sin Dato;8
2009;00 - Bogotá;39;Femenino;Especial;5
2009;00 - Bogotá;29;Femenino;Especial;5
2009;00 - Bogotá;13;Masculino;No Asegurado;15
2009;00 - Bogotá;34;Masculino;Especial;10
2009;00 - Bogotá;45;Masculino;No Asegurado;4
2009;00 - Bogotá;38;Femenino;Especial;5
2009;00 - Bogotá;28;Masculino;Especial;12
2009;00 - Bogotá;49;Masculino;No Asegurado;1
2009;00 - Bogotá;23;Femenino;Sin Dato;11
2009;00 - Bogotá;15;Femenino;Excepción;7
2009;00 - Bogotá;17;Femenino;Sin Dato;8
2009;00 - Bogotá;43;Femenino;No Asegurado;18
2009;00 - Bogotá;30;Masculino;Especial;9
2009;00 - Bogotá;12;Masculino;Subsidiado;2
2009;00 - Bogotá;24;Femenino;Especial;5
2009;00 - Bogotá;40;Femenino;Sin Dato;2
2009;00 - Bogotá;27;Femenino;Sin Dato;5
2009;00 - Bogotá;14;Masculino;Sin Dato;2
2009;00 - Bogotá;24;Masculino;Especial;4
2009;00 - Bogotá;43;Femenino;Especial;1
2009;00 - Bogotá;34;Masculino;Sin Dato;2
2009;00 - Bogotá;46;Masculino;Subsidiado;4
2009;00 - Bogotá;31;Masculino;Especial;3
2009;00 - Bogotá;46;Femenino;No Asegurado;4
2009;00 - Bogotá;20;Femenino;Sin Dato;10
2009;00 - Bogotá;28;Masculino;Sin Dato;9
2009;00 - Bogotá;28;Femenino;Sin Dato;8
2009;00 - Bogotá;32;Femenino;Sin Dato;1
2009;00 - Bogotá;49;Masculino;Subsidiado;2
2009;00 - Bogotá;24;Femenino;Sin Dato;7
2009;00 - Bogotá;22;Masculino;Especial;10
2009;00 - Bogotá;42;Femenino;Especial;3
2009;00 - Bogotá;38;Masculino;Especial;4
2009;00 - Bogotá;31;Masculino;Sin Dato;3
2009;00 - Bogotá;;Femenino;Contributivo;9
2009;00 - Bogotá;17;Femenino;Especial;1
2009;00 - Bogotá;46;Femenino;Especial;1
2009;00 - Bogotá;28;Femenino;Especial;6
2009;00 - Bogotá;16;Masculino;Sin Dato;4
2009;00 - Bogotá;32;Femenino;Especial;10
2009;00 - Bogotá;22;Femenino;Sin Dato;4
2009;00 - Bogotá;14;Femenino;Excepción;3
2009;00 - Bogotá;15;Masculino;Especial;1
2009;00 - Bogotá;40;Masculino;Especial;2
2009;00 - Bogotá;42;Masculino;Especial;1
2009;00 - Bogotá;21;Femenino;Especial;3
2009;00 - Bogotá;41;Masculino;Excepción;5
2009;00 - Bogotá;35;Masculino;Sin Dato;3
2009;00 - Bogotá;50;Masculino;No Asegurado;1
2009;00 - Bogotá;51;Masculino;Contributivo;2
2009;00 - Bogotá;44;Masculino;No Asegurado;10
2009;00 - Bogotá;;Femenino;No Asegurado;6
2009;00 - Bogotá;39;Masculino;Especial;3
2009;00 - Bogotá;49;Masculino;Contributivo;3
2009;00 - Bogotá;43;Masculino;Excepción;4
2009;00 - Bogotá;44;Femenino;Sin Dato;1
2009;00 - Bogotá;36;Femenino;Sin Dato;2
2009;00 - Bogotá;52;Masculino;Contributivo;3
2009;00 - Bogotá;48;Masculino;Subsidiado;1
2009;00 - Bogotá;20;Masculino;Especial;1
2009;00 - Bogotá;23;Femenino;Especial;2
2009;00 - Bogotá;;Femenino;Subsidiado;4
2009;00 - Bogotá;36;Masculino;Especial;2
2009;00 - Bogotá;19;Femenino;Especial;2
2009;00 - Bogotá;35;Femenino;Sin Dato;2
2009;00 - Bogotá;47;Masculino;Subsidiado;2
2009;00 - Bogotá;46;Femenino;Subsidiado;2
2009;00 - Bogotá;43;Masculino;Especial;2
2009;00 - Bogotá;15;Femenino;Sin Dato;2
2009;00 - Bogotá;30;Masculino;Sin Dato;3
2009;00 - Bogotá;47;Femenino;No Asegurado;1
2009;00 - Bogotá;26;Masculino;Especial;2
2009;00 - Bogotá;51;Femenino;No Asegurado;1
2009;00 - Bogotá;15;Masculino;Sin Dato;2
2009;00 - Bogotá;41;Masculino;Sin Dato;2
2009;00 - Bogotá;11;Masculino;No Asegurado;1
2009;00 - Bogotá;49;Femenino;Contributivo;2
2009;00 - Bogotá;47;Masculino;No Asegurado;2
2009;00 - Bogotá;42;Masculino;Sin Dato;1
2009;00 - Bogotá;12;Femenino;No Asegurado;1
2009;00 - Bogotá;41;Masculino;Especial;2
2009;00 - Bogotá;16;Femenino;Especial;3
2009;00 - Bogotá;50;Masculino;Contributivo;1
2009;00 - Bogotá;53;Masculino;Contributivo;1
2009;00 - Bogotá;15;Femenino;Especial;1
2009;00 - Bogotá;44;Masculino;Excepción;2
2009;00 - Bogotá;12;Masculino;No Asegurado;2
2009;00 - Bogotá;19;Masculino;Especial;1
2009;00 - Bogotá;13;Femenino;Excepción;1
2009;00 - Bogotá;45;Femenino;Especial;1
2009;00 - Bogotá;;Masculino;Excepción;1
2009;00 - Bogotá;51;Masculino;Subsidiado;1
2009;00 - Bogotá;52;Femenino;Contributivo;1
2009;00 - Bogotá;14;Femenino;Sin Dato;1
2009;00 - Bogotá;12;Masculino;Contributivo;1
2009;00 - Bogotá;41;Femenino;Sin Dato;1
2009;00 - Bogotá;46;Femenino;Excepción;1
2009;00 - Bogotá;49;Femenino;No Asegurado;1
2009;00 - Bogotá;18;Masculino;Especial;2
2009;00 - Bogotá;11;Masculino;Contributivo;1
2009;00 - Bogotá;;Femenino;Sin Dato;1
2009;00 - Bogotá;11;Femenino;Subsidiado;1
2009;18 - Rafael Uribe Uribe;26;Masculino;Contributivo;103
2009;10 - Engativá;31;Femenino;Contributivo;196
2009;11 - Suba;27;Masculino;Contributivo;337
2009;08 - Kennedy;21;Femenino;No Asegurado;86
2009;05 - Usme;28;Femenino;Contributivo;64
2009;11 - Suba;28;Femenino;Contributivo;303
2009;06 - Tunjuelito;40;Femenino;Especial;1
2009;11 - Suba;18;Masculino;Subsidiado;50
2009;16 - Puente Aranda;38;Femenino;No Asegurado;2
2009;05 - Usme;35;Masculino;Subsidiado;14
2009;18 - Rafael Uribe Uribe;31;Femenino;Contributivo;73
2009;01 - Usaquén;34;Masculino;No Asegurado;5
2009;01 - Usaquén;21;Masculino;No Asegurado;30
2009;16 - Puente Aranda;34;Masculino;Contributivo;46
2009;14 - Los Mártires;44;Femenino;Contributivo;2
2009;05 - Usme;30;Femenino;Contributivo;58
2009;07 - Bosa;22;Femenino;Contributivo;134
2009;16 - Puente Aranda;39;Femenino;Contributivo;11
2009;10 - Engativá;32;Masculino;Contributivo;195
2009;18 - Rafael Uribe Uribe;19;Masculino;No Asegurado;75
2009;04 - San Cristóbal;28;Masculino;Subsidiado;43
2009;09 - Fontibón;23;Masculino;Contributivo;77
2009;03 - Santa Fe;22;Masculino;No Asegurado;13
2009;07 - Bosa;31;Masculino;Contributivo;120
2009;09 - Fontibón;35;Masculino;Contributivo;70
2009;11 - Suba;31;Masculino;Contributivo;302
2009;09 - Fontibón;36;Masculino;Contributivo;57
2009;05 - Usme;20;Femenino;Contributivo;84
2009;09 - Fontibón;28;Masculino;Contributivo;97
2009;07 - Bosa;25;Femenino;Subsidiado;40
2009;08 - Kennedy;25;Masculino;Contributivo;328
2009;06 - Tunjuelito;33;Masculino;Contributivo;39
2009;08 - Kennedy;21;Femenino;Contributivo;230
2009;18 - Rafael Uribe Uribe;23;Masculino;No Asegurado;43
2009;08 - Kennedy;38;Femenino;Contributivo;87
2009;10 - Engativá;27;Masculino;Contributivo;271
2009;10 - Engativá;22;Femenino;Contributivo;184
2009;08 - Kennedy;22;Masculino;Contributivo;273
2009;10 - Engativá;30;Masculino;No Asegurado;23
2009;04 - San Cristóbal;16;Masculino;Subsidiado;67
2009;05 - Usme;24;Masculino;No Asegurado;23
2009;06 - Tunjuelito;18;Femenino;Contributivo;33
2009;11 - Suba;25;Femenino;Contributivo;283
2009;19 - Ciudad Bolívar;16;Masculino;No Asegurado;55
2009;08 - Kennedy;30;Masculino;Contributivo;339
2009;19 - Ciudad Bolívar;24;Femenino;Subsidiado;108
2009;18 - Rafael Uribe Uribe;17;Femenino;Subsidiado;68
2009;06 - Tunjuelito;39;Masculino;Excepción;2
2009;05 - Usme;21;Femenino;Subsidiado;99
2009;04 - San Cristóbal;34;Masculino;Sin Dato;2
2009;03 - Santa Fe;33;Femenino;Subsidiado;5
2009;01 - Usaquén;21;Masculino;Contributivo;82
2009;08 - Kennedy;23;Masculino;Subsidiado;57
2009;10 - Engativá;25;Masculino;Contributivo;260
2009;08 - Kennedy;18;Femenino;Contributivo;157
2009;04 - San Cristóbal;27;Masculino;Contributivo;112
2009;08 - Kennedy;19;Femenino;No Asegurado;118
2009;02 - Chapinero;36;Masculino;Contributivo;38
2009;09 - Fontibón;22;Masculino;Contributivo;83
2009;08 - Kennedy;31;Masculino;Excepción;12
2009;08 - Kennedy;17;Femenino;Contributivo;136
2009;04 - San Cristóbal;24;Masculino;Contributivo;126
2009;08 - Kennedy;20;Masculino;No Asegurado;107
2009;04 - San Cristóbal;17;Masculino;No Asegurado;36
2009;07 - Bosa;28;Femenino;Contributivo;172
2009;09 - Fontibón;30;Femenino;Excepción;6
2009;04 - San Cristóbal;25;Masculino;Subsidiado;47
2009;18 - Rafael Uribe Uribe;19;Masculino;Contributivo;83
2009;11 - Suba;33;Femenino;Subsidiado;23
2009;13 - Teusaquillo;29;Masculino;No Asegurado;1
2009;12 - Barrios Unidos;21;Femenino;No Asegurado;8
2009;18 - Rafael Uribe Uribe;25;Femenino;Contributivo;98
2009;07 - Bosa;35;Masculino;Contributivo;88
2009;06 - Tunjuelito;24;Femenino;Contributivo;50
2009;10 - Engativá;18;Femenino;Contributivo;95
2009;09 - Fontibón;31;Masculino;Contributivo;103
2009;11 - Suba;22;Masculino;Contributivo;232
2009;01 - Usaquén;20;Masculino;No Asegurado;28
2009;11 - Suba;33;Masculino;Contributivo;255
2009;08 - Kennedy;23;Masculino;Contributivo;279
2009;10 - Engativá;20;Masculino;No Asegurado;57
2009;06 - Tunjuelito;25;Masculino;Contributivo;56
2009;05 - Usme;29;Femenino;Subsidiado;31
2009;18 - Rafael Uribe Uribe;22;Femenino;Contributivo;92
